Statistical profiling result from profResultCLG-v8.log, (10074 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *_copyActual node:buffer:245:21
      1    0.0%    0.0%  LazyCompile: *_copy node:buffer:203:15
      1    0.0%    0.0%  LazyCompile: *Program /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      1    0.0%    0.0%  LazyCompile: *PathExpression /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.0%  LazyCompile: *PartialStatement /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:175:46
      1    0.0%    0.0%  LazyCompile: *Glob._process /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/glob/glob.js:295:36
      1    0.0%    0.0%  LazyCompile: *ExpressHandlebars._compileTemplate /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:313:61
      1    0.0%    0.0%  LazyCompile: *BlockStatement /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:130:42
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/util:346:24
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/connect-mongo/build/main/lib/MongoStore.js:296:10
      1    0.0%    0.0%  Function: ^write_ node:_http_outgoing:730:16
